,dbn,school_name,address,city,Number of SAT Test Takers,SAT Critical Reading Avg,SAT Math Avg,SAT Writing Avg,total cohort  - june,total math/ela apm - june,Regents Pass Rate - June,total cohort  - august,total math/ela apm - august,Regents Pass Rate - August,Graduation Ontrack Rate - 2013,Graduation Rate - 2013,College Career Rate - 2013,Student Satisfaction Rate - 2013,Graduation Ontrack Rate - 2012,Graduation Rate - 2012,College Career Rate - 2012,Student Satisfaction Rate - 2012,coordinates
0,01M292,Henry Street School for International Studies,220 Henry Street,New York,29.0,355.0,404.0,363.0,78.0,7.0,9.0,78.0,7.0,9.0,62.0,58.0,32.0,7.1,81.0,51.0,40.0,6.3,"(40.7135296, -73.9856844)"
1,01M448,University Neighborhood High School,200 Monroe Street,New York,91.0,383.0,423.0,366.0,124.0,17.0,13.7,124.0,17.0,13.7,83.0,78.0,55.0,7.5,92.0,74.0,67.0,6.6,"(40.7122569, -73.9840313)"
2,01M450,East Side Community School,420 East 12 Street,New York,70.0,377.0,402.0,370.0,,,,,,,92.0,76.0,58.0,8.4,92.0,73.0,56.0,7.3,"(40.729311, -73.9825827)"
3,01M509,Marta Valle High School,145 Stanton Street,New York,44.0,390.0,433.0,384.0,84.0,14.0,16.7,84.0,14.0,16.7,59.0,36.0,38.0,6.5,69.0,60.0,48.0,6.5,"(40.7202883, -73.9860794)"
4,01M539,New Explorations into Science Technology and Math High School,111 Columbia Street,New York,159.0,522.0,574.0,525.0,46.0,42.0,91.3,46.0,42.0,91.3,99.0,98.0,84.0,7.6,97.0,98.0,83.0,7.2,"(40.7195002, -73.9792392)"
5,01M696,Bard High School Early College,525 East Houston Street,New York,130.0,624.0,604.0,628.0,139.0,99.0,71.2,139.0,100.0,71.9,96.0,98.0,94.0,8.2,96.0,97.0,97.0,8.0,"(40.7180919, -73.97607459999999)"
6,02M047,47  American Sign Language and English Secondary School,223 East 23 Street,New York,16.0,395.0,400.0,387.0,25.0,1.0,4.0,25.0,1.0,4.0,98.0,71.0,42.0,7.5,68.0,55.0,30.0,7.3,"(40.738454, -73.98166069999999)"
12,02M288,Food and Finance High School,525 West 50Th Street,New York,62.0,409.0,393.0,392.0,102.0,14.0,13.7,102.0,14.0,13.7,89.0,84.0,53.0,6.8,89.0,77.0,60.0,6.6,"(40.7655356, -73.9931625)"
13,02M294,Essex Street Academy,350 Grand Street,New York,53.0,394.0,384.0,378.0,,,,,,,90.0,65.0,49.0,7.9,90.0,77.0,61.0,7.5,"(40.717321, -73.989323)"
14,02M296,High School of Hospitality Management,525 West 50Th Street,New York,58.0,374.0,375.0,362.0,75.0,14.0,18.7,75.0,14.0,18.7,82.0,66.0,52.0,7.3,87.0,78.0,43.0,7.1,"(40.7655356, -73.9931625)"
15,02M298,Pace High School,100 Hester Street,New York,85.0,423.0,438.0,432.0,92.0,28.0,30.4,92.0,28.0,30.4,94.0,89.0,69.0,7.5,90.0,87.0,79.0,7.0,"(40.71651, -73.9936997)"
16,02M300,Urban Assembly School of Design and Construction ,525 West 50Th Street,New York,48.0,404.0,449.0,416.0,80.0,12.0,15.0,80.0,12.0,15.0,73.0,55.0,55.0,6.8,61.0,61.0,47.0,6.5,"(40.7655356, -73.9931625)"
17,02M303,Facing History School ,525 West 50Th Street,New York,76.0,353.0,358.0,340.0,,,,,,,78.0,62.0,52.0,7.8,77.0,65.0,43.0,6.9,"(40.7655356, -73.9931625)"
18,02M305,Urban Assembly Academy of Government and Law ,350 Grand Street,New York,50.0,375.0,388.0,385.0,61.0,3.0,4.9,61.0,3.0,4.9,83.0,83.0,60.0,6.8,79.0,78.0,64.0,6.3,"(40.717321, -73.989323)"
19,02M308,Lower Manhattan Arts Academy,350 Grand Street,New York,40.0,403.0,392.0,405.0,68.0,5.0,7.4,68.0,5.0,7.4,67.0,75.0,52.0,7.2,75.0,68.0,59.0,6.7,"(40.717321, -73.989323)"
20,02M316,Urban Assembly School of Business for Young Women ,26 Broadway,New York,42.0,373.0,370.0,384.0,72.0,5.0,6.9,72.0,5.0,6.9,77.0,75.0,48.0,6.9,80.0,71.0,64.0,6.9,"(40.7054423, -74.01288819999999)"
21,02M374,Gramercy Arts High School,40 Irving Place,New York,60.0,391.0,391.0,394.0,93.0,3.0,3.2,93.0,3.0,3.2,82.0,77.0,50.0,6.9,82.0,74.0,48.0,6.7,"(40.7354677, -73.987393)"
22,02M376,NYC iSchool,131 Avenue Of The Americas,New York,92.0,473.0,483.0,479.0,,,,,,,98.0,94.0,86.0,7.9,96.0,95.0,,7.7,"(40.7244683, -74.00494599999999)"
23,02M392,MANHATTAN BUSINESS ACADEMY,351 West 18 Street,New York,,,,,,,,,,,83.0,86.0,,7.5,80.0,,,7.0,"(40.743248, -74.00269500000002)"
24,02M393,BUSINESS OF SPORTS SCHOOL,439 West 49Th Street,New York,,,,,,,,,,,72.0,72.0,,7.4,81.0,,,6.7,"(40.76399929999999, -73.9908346)"
25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40 Irving Place,New York,,,,,,,,,,,77.0,67.0,,7.1,65.0,,,6.5,"(40.7354677, -73.987393)"
26,02M400,High School for Environmental Studies,444 West 56 Street,New York,263.0,465.0,493.0,461.0,352.0,122.0,34.7,352.0,129.0,36.6,85.0,83.0,64.0,7.4,79.0,82.0,81.0,6.9,"(40.7679079, -73.9884009)"
27,02M407,Institute for Collaborative Education,345 East 15Th Street,New York,54.0,492.0,465.0,467.0,,,,,,,100.0,94.0,58.0,8.2,98.0,86.0,57.0,7.8,"(40.7325413, -73.9828422)"
28,02M408,Professional Performing Arts High School,328 West 48 Street,New York,94.0,509.0,490.0,523.0,80.0,25.0,31.3,80.0,26.0,32.5,93.0,96.0,66.0,7.2,87.0,93.0,68.0,7.1,"(40.7615351, -73.9886547)"
29,02M411,Baruch College Campus High School,55 East 25 Street,New York,104.0,496.0,563.0,518.0,105.0,74.0,70.5,105.0,74.0,70.5,100.0,99.0,96.0,8.0,100.0,100.0,91.0,7.5,"(40.7418485, -73.98590899999999)"
30,02M412,N.Y.C. Lab School for Collaborative Studies,333 West 17 Street,New York,114.0,537.0,590.0,550.0,124.0,70.0,56.5,124.0,74.0,59.7,95.0,95.0,73.0,7.7,95.0,93.0,88.0,7.0,"(40.7425117, -74.00273349999999)"
31,02M413,School of  Future High School,127 East 22 Street,New York,66.0,517.0,533.0,515.0,,,,,,,95.0,85.0,77.0,7.7,97.0,83.0,63.0,7.4,"(40.7390867, -73.9853658)"
32,02M414,N.Y.C. Museum School,333 West 17 Street,New York,103.0,468.0,492.0,459.0,106.0,22.0,20.8,106.0,22.0,20.8,99.0,98.0,91.0,7.1,99.0,100.0,86.0,7.0,"(40.7425117, -74.00273349999999)"
33,02M416,Eleanor Roosevelt High School,411 East 76 Street,New York,127.0,572.0,594.0,592.0,127.0,103.0,81.1,127.0,103.0,81.1,100.0,100.0,97.0,8.3,100.0,98.0,97.0,7.8,"(40.770282, -73.953267)"
34,02M418,Millennium High School,75 Broad Street,New York,144.0,528.0,553.0,533.0,150.0,97.0,64.7,150.0,99.0,66.0,100.0,99.0,86.0,8.0,97.0,100.0,84.0,7.4,"(40.7046172, -74.01123249999999)"
35,02M419,Landmark High School,351 West 18 Street,New York,62.0,390.0,399.0,381.0,,,,,,,80.0,50.0,41.0,7.2,69.0,51.0,43.0,6.5,"(40.743248, -74.00269500000002)"
36,02M420,High School for Health Professions and Human Services,345 East 15Th Street,New York,336.0,429.0,449.0,428.0,341.0,90.0,26.4,341.0,91.0,26.7,89.0,86.0,77.0,7.5,88.0,88.0,72.0,6.7,"(40.7325413, -73.9828422)"
37,02M422,Quest to Learn,351 West 18 Street,New York,,,,,,,,,,,84.0,,,7.6,,,,7.3,"(40.743248, -74.00269500000002)"
38,02M425,Leadership and Public Service High School,90 Trinity Place,New York,84.0,416.0,426.0,391.0,144.0,18.0,12.5,144.0,18.0,12.5,75.0,68.0,43.0,7.2,79.0,59.0,49.0,6.5,"(40.70902419999999, -74.0123569)"
39,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,111 East 33Rd Street,New York,,,,,,,,,,,61.0,,,8.0,62.0,,,6.9,"(40.7464334, -73.9810279)"
40,02M432,Murray Hill Academy,111 East 33Rd Street,New York,,,,,,,,,,,,,,7.7,,,,6.9,"(40.7464334, -73.9810279)"
41,02M437,Hudson High School of Learning Technologies,351 West 18 Street,New York,,,,,,,,,,,74.0,,,7.3,54.0,,,7.0,"(40.743248, -74.00269500000002)"
42,02M438,International High School at Union Square,40 Irving Place,New York,,,,,,,,,,,81.0,,,8.1,84.0,,,7.4,"(40.7354677, -73.987393)"
43,02M439,Manhattan Village Academy,43 West 22 Street,New York,95.0,441.0,473.0,458.0,,,,,,,100.0,97.0,83.0,7.7,98.0,98.0,77.0,7.2,"(40.7419716, -73.99223769999999)"
44,02M449,Vanguard High School,317 East 67 Street,New York,72.0,395.0,416.0,388.0,,,,,,,68.0,75.0,59.0,7.3,81.0,71.0,55.0,7.1,"(40.7653683, -73.9596962)"
45,02M459,Manhattan International High School,317 East 67 Street,New York,49.0,376.0,460.0,391.0,,,,,,,81.0,56.0,55.0,8.4,64.0,64.0,49.0,7.6,"(40.7653683, -73.9596962)"
46,02M475,Stuyvesant High School,345 Chambers Street,New York,832.0,679.0,735.0,682.0,787.0,773.0,98.2,787.0,778.0,98.9,99.0,98.0,99.0,7.7,99.0,99.0,99.0,7.1,"(40.7180139, -74.0138939)"
47,02M489,High School of Economics and Finance,100 Trinity Place,New York,167.0,443.0,489.0,442.0,177.0,53.0,29.9,177.0,54.0,30.5,83.0,75.0,77.0,7.4,87.0,81.0,74.0,6.7,"(40.709254, -74.0121884)"
48,02M500,Unity Center for Urban Technologies,111 East 33Rd Street,New York,25.0,370.0,349.0,351.0,53.0,1.0,1.9,53.0,1.0,1.9,80.0,68.0,40.0,7.6,83.0,70.0,50.0,8.4,"(40.7464334, -73.9810279)"
49,02M507,Urban Assembly Gateway School for Technology,439 West 49Th Street,New York,,,,,,,,,,,83.0,,,7.8,81.0,,,7.7,"(40.76399929999999, -73.9908346)"
50,02M519,Talent Unlimited High School,317 East 67 Street,New York,81.0,469.0,472.0,475.0,136.0,45.0,33.1,136.0,45.0,33.1,97.0,96.0,81.0,7.7,93.0,96.0,82.0,6.7,"(40.7653683, -73.9596962)"
51,02M520,Murry Bergtraum High School for Business Careers,411 Pearl Street,New York,264.0,407.0,440.0,393.0,637.0,112.0,17.6,637.0,114.0,17.9,56.0,51.0,43.0,6.1,60.0,62.0,42.0,6.1,"(40.7110316, -74.0013216)"
52,02M529,Jacqueline Kennedy Onassis High School,120 West 46 Street,New York,131.0,414.0,425.0,400.0,148.0,29.0,19.6,148.0,31.0,20.9,67.0,66.0,43.0,7.4,75.0,69.0,40.0,6.8,"(40.7577223, -73.9833542)"
53,02M531,Repertory Company High School for atre Arts,123 West 43 Street,New York,42.0,429.0,404.0,420.0,49.0,2.0,4.1,49.0,2.0,4.1,100.0,96.0,61.0,6.9,98.0,91.0,63.0,6.6,"(40.7561154, -73.9844504)"
54,02M533,Union Square Academy for Health Sciences,40 Irving Place,New York,,,,,,,,,,,89.0,,,8.5,,,,,"(40.7354677, -73.987393)"
55,02M534,Harvest Collegiate High School,34 West 14 Street,New York,,,,,,,,,,,100.0,,,8.0,,,,,"(40.7365859, -73.9954734)"
56,02M542,Manhattan Bridges High School,525 West 50Th Street,New York,66.0,336.0,378.0,344.0,111.0,13.0,11.7,111.0,13.0,11.7,98.0,82.0,70.0,8.3,92.0,87.0,52.0,7.2,"(40.7655356, -73.9931625)"
57,02M543,New Design High School,350 Grand Street,New York,73.0,391.0,395.0,382.0,101.0,8.0,7.9,101.0,8.0,7.9,73.0,85.0,58.0,7.6,90.0,79.0,48.0,7.3,"(40.717321, -73.989323)"
58,02M545,High School for Dual Language and Asian Studies,350 Grand Street,New York,78.0,412.0,581.0,431.0,54.0,40.0,74.1,54.0,40.0,74.1,98.0,98.0,88.0,7.6,96.0,93.0,95.0,7.1,"(40.717321, -73.989323)"
59,02M546,Academy for Software Engineering,40 Irving Place,New York,,,,,,,,,,,97.0,,,8.3,,,,,"(40.7354677, -73.987393)"
60,02M551,Urban Assembly New York Harbor School,550 Wheeler Avenue,Manhattan,77.0,405.0,423.0,384.0,77.0,7.0,9.1,77.0,7.0,9.1,90.0,71.0,71.0,7.3,77.0,86.0,54.0,6.9,"(40.6911098, -74.0193321)"
61,02M580,Richard R. Green High School of Teaching,26 Broadway,New York,84.0,408.0,384.0,403.0,134.0,27.0,20.1,134.0,27.0,20.1,71.0,72.0,55.0,7.0,61.0,74.0,41.0,6.8,"(40.7054423, -74.01288819999999)"
62,02M600, High School of Fashion Industries,225 West 24 Street,New York,335.0,423.0,423.0,411.0,416.0,145.0,34.9,416.0,148.0,35.6,91.0,91.0,66.0,7.1,90.0,89.0,64.0,6.5,"(40.7455962, -73.9964634)"
63,02M605,Humanities Preparatory Academy,351 West 18 Street,New York,36.0,426.0,403.0,426.0,,,,,,,,,,8.1,,,,6.9,"(40.743248, -74.00269500000002)"
64,02M615,Chelsea Career and Technical Education High School,131 Avenue Of The Americas,New York,83.0,399.0,418.0,390.0,173.0,8.0,4.6,173.0,8.0,4.6,83.0,80.0,41.0,7.5,77.0,73.0,25.0,6.9,"(40.7244683, -74.00494599999999)"
65,02M630,Art and Design High School,231-249 East 56 Street,New York,270.0,444.0,441.0,430.0,320.0,44.0,13.8,320.0,44.0,13.8,81.0,84.0,82.0,6.9,89.0,82.0,51.0,6.4,"(40.7588375, -73.9662492)"
66,02M655,Life Sciences Secondary School,320 East 96 Street,New York,61.0,409.0,424.0,403.0,118.0,11.0,9.3,118.0,11.0,9.3,82.0,64.0,40.0,6.8,85.0,69.0,46.0,6.2,"(40.7833777, -73.94593940000001)"
67,03M299,High School for Arts Imagination and Inquiry,122 Amsterdam Avenue,New York,49.0,374.0,384.0,374.0,89.0,4.0,4.5,89.0,4.0,4.5,74.0,75.0,40.0,7.2,77.0,66.0,37.0,6.4,"(40.7747793, -73.98472000000001)"
68,03M307,Urban Assembly School for Media Studies ,122 Amsterdam Avenue,New York,41.0,384.0,390.0,370.0,100.0,5.0,5.0,100.0,5.0,5.0,77.0,61.0,40.0,7.2,80.0,67.0,42.0,6.7,"(40.7747793, -73.98472000000001)"
69,03M402, Urban Assembly School for Green Careers,145 West 84 Street,New York,,,,,,,,,,,70.0,40.0,,6.7,85.0,,,7.1,"(40.785992, -73.9743724)"
70,03M403, Global Learning Collaborative,145 West 84 Street,New York,,,,,,,,,,,82.0,53.0,,7.2,63.0,,,6.9,"(40.785992, -73.9743724)"
71,03M415,Wadleigh Secondary School for  Performing & Visual Arts,215 West 114 Street,New York,32.0,371.0,368.0,370.0,127.0,11.0,8.7,127.0,13.0,10.2,57.0,44.0,31.0,6.9,66.0,43.0,42.0,6.0,"(40.8022843, -73.95408019999999)"
72,03M417,FRANK McCOURT HIGH SCHOOL,145 West 84 Street,New York,,,,,,,,,,,85.0,,,7.5,94.0,,,7.2,"(40.785992, -73.9743724)"
73,03M479,Beacon High School,227-243 West 61St Street,New York,261.0,577.0,575.0,592.0,,,,,,,97.0,99.0,84.0,8.1,99.0,98.0,89.0,7.8,"(40.7724873, -73.9881532)"
74,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,100 Amsterdam Avenue,New York,531.0,566.0,564.0,577.0,646.0,487.0,75.4,646.0,490.0,75.9,99.0,98.0,86.0,7.3,99.0,100.0,93.0,6.8,"(40.7740625, -73.9854943)"
75,03M492,High School for Law Advocacy and Community Justice,122 Amsterdam Avenue,New York,66.0,396.0,398.0,402.0,107.0,10.0,9.3,107.0,10.0,9.3,76.0,74.0,41.0,7.1,68.0,79.0,53.0,6.9,"(40.7747793, -73.98472000000001)"
76,03M494,High School of Arts and Technology,122 Amsterdam Avenue,New York,75.0,433.0,433.0,411.0,137.0,17.0,12.4,137.0,17.0,12.4,77.0,64.0,51.0,6.9,79.0,68.0,41.0,6.7,"(40.7747793, -73.98472000000001)"
77,03M541,Manhattan / Hunter Science High School,122 Amsterdam Avenue,New York,111.0,473.0,506.0,467.0,90.0,68.0,75.6,90.0,68.0,75.6,94.0,91.0,89.0,7.8,100.0,95.0,82.0,7.2,"(40.7747793, -73.98472000000001)"
79,03M860,Frederick Douglass Academy II Secondary School,215 West 114 Street,New York,43.0,356.0,379.0,361.0,54.0,6.0,11.1,54.0,6.0,11.1,89.0,65.0,59.0,7.0,81.0,68.0,52.0,6.5,"(40.8022843, -73.95408019999999)"
80,04M372,ESPERANZA PREPARATORY ACADEMY,240 East 109 Street,New York,,,,,,,,,,,94.0,,,8.0,,,,7.7,"(40.7924857, -73.9417246)"
81,04M409,Coalition School for Social Change,2351 1St Avenue,New York,48.0,354.0,357.0,373.0,76.0,3.0,3.9,76.0,3.0,3.9,65.0,41.0,22.0,7.5,67.0,47.0,33.0,6.7,"(40.7992278, -73.9338214)"
82,04M435,Manhattan Center for Science and Mamatics,260 Pleasant Avenue,New York,375.0,461.0,514.0,455.0,381.0,212.0,55.6,381.0,215.0,56.4,95.0,90.0,77.0,7.2,96.0,91.0,74.0,6.6,"(40.794167, -73.932694)"
83,04M495,Park East High School,230 East 105 Street,New York,51.0,373.0,379.0,376.0,92.0,5.0,5.4,92.0,6.0,6.5,76.0,76.0,51.0,8.0,92.0,82.0,47.0,7.1,"(40.7902049, -73.9441678)"
84,04M555,Central Park East High School,1573 Madison Avenue,New York,73.0,405.0,421.0,395.0,,,,,,,87.0,93.0,73.0,7.9,94.0,85.0,58.0,7.2,"(40.7936899, -73.9491583)"
85,04M610,Young Women's Leadership School,105 East 106 Street,New York,70.0,432.0,446.0,448.0,55.0,23.0,41.8,55.0,23.0,41.8,95.0,100.0,91.0,8.1,97.0,100.0,83.0,7.4,"(40.792935, -73.94716799999999)"
86,04M680,Heritage School ,1680 Lexington Avenue,New York,31.0,358.0,351.0,345.0,75.0,7.0,9.3,75.0,8.0,10.7,78.0,61.0,36.0,6.5,84.0,63.0,29.0,6.3,"(40.791964, -73.946878)"
88,05M304,Mott Hall High School,6 Edgecombe Avenue,New York,54.0,413.0,399.0,398.0,96.0,14.0,14.6,96.0,14.0,14.6,76.0,69.0,45.0,7.3,67.0,65.0,59.0,6.7,"(40.8174583, -73.9473723)"
89,05M362,Columbia Secondary School,425 West 123 Street,New York,,,,,,,,,,,89.0,,,7.3,96.0,,,7.0,"(40.8106401, -73.9558474)"
90,05M367,Academy for Social Action: A College Board School,509 West 129 Street,New York,33.0,354.0,366.0,342.0,,,,,,,63.0,59.0,23.0,6.5,78.0,37.0,71.0,5.6,"(40.8154784, -73.9555563)"
91,05M369,Urban Assembly School for  Performing Arts,509 West 129 Street,New York,56.0,360.0,353.0,364.0,62.0,6.0,9.7,62.0,6.0,9.7,85.0,68.0,60.0,6.6,78.0,75.0,57.0,5.9,"(40.8154784, -73.9555563)"
92,05M499,Frederick Douglass Academy,2581 7Th Avenue,New York,214.0,458.0,474.0,442.0,259.0,119.0,45.9,259.0,121.0,46.7,64.0,80.0,76.0,6.9,47.0,82.0,73.0,6.2,"(40.8244633, -73.936447)"
93,05M670,Thurgood Marshall Academy for Learning and Social Change,200-214 West 135Th Street,New York,66.0,396.0,402.0,404.0,95.0,17.0,17.9,95.0,17.0,17.9,63.0,94.0,63.0,7.6,75.0,90.0,65.0,6.9,"(40.8152968, -73.9443043)"
94,05M692,High School for Mamatics Science and Engineering at City College,240 Convent Ave,New York,101.0,605.0,654.0,588.0,106.0,100.0,94.3,106.0,104.0,98.1,100.0,99.0,98.0,8.2,97.0,99.0,60.0,7.6,"(40.8213947, -73.9488459)"
96,06M293,City College Academy of  Arts,4600 Broadway,New York,60.0,408.0,446.0,416.0,,,,,,,84.0,88.0,95.0,8.1,88.0,95.0,,7.5,"(40.8608196, -73.9300663)"
97,06M346,Community Health Academy of  Heights,504 West 158Th Street,New York,55.0,362.0,376.0,367.0,,,,,,,64.0,58.0,45.0,8.2,49.0,72.0,,7.1,"(40.8334867, -73.9424463)"
98,06M348,Washington Heights Expeditionary Learning School,511 West 182Nd Street,New York,70.0,380.0,395.0,399.0,,,,,,,77.0,66.0,58.0,8.2,93.0,73.0,,7.5,"(40.8490987, -73.9311063)"
99,06M423,High School for Excellence and Innovation,650 Academy Street,New York,,,,,,,,,,,,,,8.0,,,,6.9,"(40.8659143, -73.925157)"
100,06M462, College Academy,549 Audubon Avenue,New York,76.0,365.0,384.0,378.0,185.0,18.0,9.7,185.0,19.0,10.3,76.0,64.0,42.0,7.5,72.0,59.0,43.0,6.8,"(40.8562127, -73.92655429999999)"
101,06M463,High School for Media and Communications,549 Audubon Avenue,New York,63.0,369.0,380.0,349.0,161.0,10.0,6.2,161.0,11.0,6.8,68.0,62.0,45.0,7.5,62.0,64.0,37.0,6.6,"(40.8562127, -73.92655429999999)"
102,06M467,High School for Law and Public Service,549 Audubon Avenue,New York,94.0,363.0,378.0,361.0,171.0,16.0,9.4,171.0,16.0,9.4,68.0,60.0,39.0,7.1,71.0,65.0,53.0,6.5,"(40.8562127, -73.92655429999999)"
103,06M468,High School for Health Careers and Sciences,549 Audubon Avenue,New York,24.0,400.0,422.0,402.0,158.0,21.0,13.3,158.0,21.0,13.3,65.0,49.0,36.0,7.2,67.0,57.0,41.0,6.6,"(40.8562127, -73.92655429999999)"
104,06M540,A. Philip Randolph Campus High School,443 West 135 Street,New York,228.0,430.0,456.0,423.0,267.0,62.0,23.2,267.0,63.0,23.6,73.0,73.0,65.0,8.9,90.0,75.0,63.0,6.1,"(40.818413, -73.9503019)"
105,06M552,Gregorio Luperon High School for Science and Mamatics,501 West 165Th,New York,56.0,339.0,349.0,326.0,91.0,11.0,12.1,91.0,11.0,12.1,70.0,64.0,56.0,8.2,46.0,76.0,52.0,7.5,"(40.8383948, -73.93855719999999)"
106,07X221,South Bronx Preparatory: A College Board School,360 East 145 Street,Bronx,65.0,364.0,378.0,348.0,80.0,10.0,12.5,80.0,10.0,12.5,91.0,86.0,63.0,7.9,82.0,89.0,63.0,7.1,"(40.8137232, -73.9206427)"
109,07X334,International Community High School,345 Brook Avenue,Bronx,34.0,310.0,324.0,311.0,10.0,,,10.0,,,55.0,31.0,28.0,7.7,86.0,47.0,41.0,7.1,"(40.8102834, -73.91810079999999)"
110,07X427,Community School for Social Justice,350 Gerard Avenue,Bronx,43.0,361.0,359.0,357.0,,,,,,,78.0,69.0,53.0,8.3,86.0,60.0,60.0,7.5,"(40.8156492, -73.93043220000001)"
